campanha,tipo_campanha,canal,grupo
CRM_REST_AQUISICAO_CRM_ABANDONO_PARTE1_25_11_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_PARTE2_26_11_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_PARTE3_27_11_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_REGUAS_11_10_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_REGUAS_MIDIA_11_10_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_RESTO_30_8_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_SSI_17_10_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_SSI_BF_4_11_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO_SSI_MIDIA_17_10_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO2_12_9_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONO4_23_9_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONOSEMANAL_16_9_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONOSEMANAL_SEMANA4_26_9_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_ABANDONOSEMANALWPP_6_9_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_MIDIA_16_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_MIDIA_19_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_MIDIA_26_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_MIDIA_9_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_P1_16_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_P1_19_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_P1_26_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_P2_15_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_P2_17_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_P2_20_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_P2_27_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_P3_18_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_P3_21_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_P3_28_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_SSI_NOVEMBRO_OFERTAS_7_11_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_SSI_P1_14_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_SSI_PT1_9_12_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_ABANDONO_SSI_TESTE_COPA_7_11_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23_29_11_2022_E-MAIL,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23_P1_29_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23_P2_30_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23M_19_11_2022_E-MAIL,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23M_P1_13_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23M_P1_20_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23M_P1_23_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23M_P1_27_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23M_P2_14_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23M_P2_21_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23M_P2_24_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23M_P2_28_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23M_PARTE2_9_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23M_PT1_16_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_12A23M_PT2_17_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_24M_27_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_24M_29_11_2022_E-MAIL,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_24M_P1_15_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_24M_P1_20_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_24M_P1_22_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_24M_P1_29_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_24M_P2_21_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_24M_P2_23_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_24M_P2_30_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_24M_PT1_17_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_24M_PT2_18_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_3MESES_23_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11_29_11_2022_E-MAIL,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11_P1_29_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11_P2_30_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11M_16_11_2022_E-MAIL,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11M_P1_13_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11M_P1_20_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11M_P1_22_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11M_P1_27_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11M_P2_14_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11M_P2_21_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11M_P2_23_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11M_P2_28_12_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11M_PARTE1_9_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11M_PARTE2_10_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11M_PT1_16_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CHURN_6A11M_PT2_17_11_2022_WHATSAPP,CRM Churn,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CNAE_15_12_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CNAE_19_12_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CNAE_21_11_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CNAE_6_12_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CNAES_COPA_7_11_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CNAES_NOVEMBRO_OFERTAS_7_11_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CONTAS_18_11_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CONTAS_23_11_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CONTAS_26_11_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CONTAS_BF_4_11_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CPF_21_11_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CPF_6_12_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CPF_COPA_7_11_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_CPF_NOVEMBRO_OFERTAS_7_11_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_LEADS_CONTAS_7_12_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_MIDIA_14_12_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_TESTE_CONTAS_14_12_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO_TESTEDECONTAS_21_12_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_AQUISICAO1P_26_8_2022_WHATSAPP,CRM Aquisição,CRM,CRM
CRM_REST_AQUISICAO_CRM_BASE_ABANDONO_MIDIA_PT2_26_10_2022_WHATSAPP,CRM Abandono,CRM,CRM
CRM_Rest_Aquisicao_CRM_base_CC1_28_06,CRM Aquisição,CRM,CRM
